geo,wst_oper,unit,year,value
ES,DSP_I,KG_HAB,2009.0,0.0
EU27_2020,DSP_I,KG_HAB,2009.0,35.0
ES,DSP_I_RCV_E,KG_HAB,2009.0,48.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2009.0,117.0
ES,DSP_L_OTH,KG_HAB,2009.0,314.0
EU27_2020,DSP_L_OTH,KG_HAB,2009.0,185.0
ES,GEN,KG_HAB,2009.0,542.0
EU27_2020,GEN,KG_HAB,2009.0,509.0
ES,RCV_E,KG_HAB,2009.0,48.0
EU27_2020,RCV_E,KG_HAB,2009.0,82.0
ES,RCY,KG_HAB,2009.0,180.0
EU27_2020,RCY,KG_HAB,2009.0,190.0
ES,RCY_C_D,KG_HAB,2009.0,97.0
EU27_2020,RCY_C_D,KG_HAB,2009.0,67.0
ES,RCY_M,KG_HAB,2009.0,82.0
EU27_2020,RCY_M,KG_HAB,2009.0,123.0
ES,TRT,KG_HAB,2009.0,542.0
EU27_2020,TRT,KG_HAB,2009.0,493.0
ES,DSP_I,KG_HAB,2010.0,0.0
EU27_2020,DSP_I,KG_HAB,2010.0,30.0
ES,DSP_I_RCV_E,KG_HAB,2010.0,44.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2010.0,120.0
ES,DSP_L_OTH,KG_HAB,2010.0,318.0
EU27_2020,DSP_L_OTH,KG_HAB,2010.0,178.0
ES,GEN,KG_HAB,2010.0,510.0
EU27_2020,GEN,KG_HAB,2010.0,503.0
ES,RCV_E,KG_HAB,2010.0,44.0
EU27_2020,RCV_E,KG_HAB,2010.0,91.0
ES,RCY,KG_HAB,2010.0,149.0
EU27_2020,RCY,KG_HAB,2010.0,191.0
ES,RCY_C_D,KG_HAB,2010.0,59.0
EU27_2020,RCY_C_D,KG_HAB,2010.0,66.0
ES,RCY_M,KG_HAB,2010.0,90.0
EU27_2020,RCY_M,KG_HAB,2010.0,125.0
ES,TRT,KG_HAB,2010.0,510.0
EU27_2020,TRT,KG_HAB,2010.0,489.0
ES,DSP_I,KG_HAB,2011.0,0.0
EU27_2020,DSP_I,KG_HAB,2011.0,26.0
ES,DSP_I_RCV_E,KG_HAB,2011.0,50.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2011.0,125.0
ES,DSP_L_OTH,KG_HAB,2011.0,305.0
EU27_2020,DSP_L_OTH,KG_HAB,2011.0,167.0
ES,GEN,KG_HAB,2011.0,485.0
EU27_2020,GEN,KG_HAB,2011.0,499.0
ES,RCV_E,KG_HAB,2011.0,50.0
EU27_2020,RCV_E,KG_HAB,2011.0,99.0
ES,RCY,KG_HAB,2011.0,130.0
EU27_2020,RCY,KG_HAB,2011.0,194.0
ES,RCY_C_D,KG_HAB,2011.0,49.0
EU27_2020,RCY_C_D,KG_HAB,2011.0,66.0
ES,RCY_M,KG_HAB,2011.0,81.0
EU27_2020,RCY_M,KG_HAB,2011.0,128.0
ES,TRT,KG_HAB,2011.0,485.0
EU27_2020,TRT,KG_HAB,2011.0,486.0
ES,DSP_I,KG_HAB,2012.0,0.0
EU27_2020,DSP_I,KG_HAB,2012.0,20.0
ES,DSP_I_RCV_E,KG_HAB,2012.0,45.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2012.0,122.0
ES,DSP_L_OTH,KG_HAB,2012.0,284.0
EU27_2020,DSP_L_OTH,KG_HAB,2012.0,153.0
ES,GEN,KG_HAB,2012.0,468.0
EU27_2020,GEN,KG_HAB,2012.0,487.0
ES,RCV_E,KG_HAB,2012.0,45.0
EU27_2020,RCV_E,KG_HAB,2012.0,102.0
ES,RCY,KG_HAB,2012.0,139.0
EU27_2020,RCY,KG_HAB,2012.0,199.0
ES,RCY_C_D,KG_HAB,2012.0,48.0
EU27_2020,RCY_C_D,KG_HAB,2012.0,69.0
ES,RCY_M,KG_HAB,2012.0,91.0
EU27_2020,RCY_M,KG_HAB,2012.0,130.0
ES,TRT,KG_HAB,2012.0,468.0
EU27_2020,TRT,KG_HAB,2012.0,474.0
ES,DSP_I,KG_HAB,2013.0,0.0
EU27_2020,DSP_I,KG_HAB,2013.0,14.0
ES,DSP_I_RCV_E,KG_HAB,2013.0,53.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2013.0,125.0
ES,DSP_L_OTH,KG_HAB,2013.0,253.0
EU27_2020,DSP_L_OTH,KG_HAB,2013.0,142.0
ES,GEN,KG_HAB,2013.0,455.0
EU27_2020,GEN,KG_HAB,2013.0,479.0
ES,RCV_E,KG_HAB,2013.0,53.0
EU27_2020,RCV_E,KG_HAB,2013.0,112.0
ES,RCY,KG_HAB,2013.0,148.0
EU27_2020,RCY,KG_HAB,2013.0,199.0
ES,RCY_C_D,KG_HAB,2013.0,77.0
EU27_2020,RCY_C_D,KG_HAB,2013.0,71.0
ES,RCY_M,KG_HAB,2013.0,70.0
EU27_2020,RCY_M,KG_HAB,2013.0,128.0
ES,TRT,KG_HAB,2013.0,455.0
EU27_2020,TRT,KG_HAB,2013.0,466.0
ES,DSP_I,KG_HAB,2014.0,0.0
EU27_2020,DSP_I,KG_HAB,2014.0,14.0
ES,DSP_I_RCV_E,KG_HAB,2014.0,52.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2014.0,128.0
ES,DSP_L_OTH,KG_HAB,2014.0,259.0
EU27_2020,DSP_L_OTH,KG_HAB,2014.0,134.0
ES,GEN,KG_HAB,2014.0,448.0
EU27_2020,GEN,KG_HAB,2014.0,479.0
ES,RCV_E,KG_HAB,2014.0,52.0
EU27_2020,RCV_E,KG_HAB,2014.0,114.0
ES,RCY,KG_HAB,2014.0,138.0
EU27_2020,RCY,KG_HAB,2014.0,208.0
